Timestamp,Shift,Sleep,Hour_Work,Rested
4/7/2024 0:16:26,Night shift,4,12,Yes
4/7/2024 0:33:51,Day shift,7,14,Yes
4/7/2024 0:45:21,Night shift,6,12,Yes
4/7/2024 2:05:06,Night shift,3,12,Yes
4/7/2024 9:28:14,Day shift,7,12,No
4/7/2024 10:17:34,Night shift,4,13,No
4/7/2024 12:32:49,Day shift,8,12,No
4/7/2024 14:32:11,Night shift,4,15,Yes
4/7/2024 15:56:59,Day shift,6,16,Yes
4/7/2024 17:33:52,Night shift,7,12,Yes
4/7/2024 17:36:08,Day shift,8,13,Yes
4/8/2024 10:51:40,Day shift,10,12,Yes
4/8/2024 10:57:53,Day shift,7,13,Yes
4/8/2024 11:17:11,Day shift,8,12,No
4/8/2024 11:19:31,Day shift,6,16,No
4/8/2024 11:20:31,Day shift,5,12,No
4/8/2024 11:34:01,Day shift,8,12,Yes
4/8/2024 21:00:14,Night shift,3,16,No
4/8/2024 21:03:21,Day shift,9,12,Yes
4/9/2024 20:32:22,Night shift,6,12,Yes
4/9/2024 20:32:36,Day shift,7,12,Yes
4/9/2024 20:32:53,Night shift,4,12,No
4/9/2024 20:33:16,Night shift,8,72,No
4/9/2024 20:33:26,Night shift,4,12,No
4/9/2024 20:33:49,Night shift,4,12,No
4/9/2024 20:34:03,Day shift,8,12,Yes
4/9/2024 20:38:11,Night shift,6,12,Yes
4/9/2024 20:40:37,Day shift,7,13,Yes
4/9/2024 20:40:58,Night shift,6,14,Yes
4/9/2024 20:41:16,Day shift,8,12,No
4/9/2024 20:41:47,Night shift,5,15,Yes
4/9/2024 20:42:04,Day shift,9,16,No
4/9/2024 20:42:24,Night shift,4,12,No
4/9/2024 20:43:27,Day shift,10,13,Yes
4/9/2024 20:43:44,Night shift,3,14,No
4/9/2024 20:44:10,Day shift,11,15,Yes
4/9/2024 20:44:38,Night shift,7,16,Yes
4/9/2024 20:45:01,Day shift,6,12,No
4/9/2024 20:45:39,Night shift,8,13,No
4/9/2024 21:11:33,Night shift,8,15,Yes
4/9/2024 21:14:48,Day shift,9,45,Yes
4/9/2024 21:24:25,Day shift,6,8,No
4/9/2024 21:46:14,Day shift,9,45,Yes
4/10/2024 1:12:12,Night shift,6,12,No
4/10/2024 2:11:39,Night shift,3,12,No
4/10/2024 2:11:59,Night shift,5,12,No
4/10/2024 2:26:48,Night shift,4,12,No
4/10/2024 4:12:31,Night shift,5,40,No
4/10/2024 6:37:01,Night shift,3,12,No
4/10/2024 7:35:18,Day shift,6,14,Yes
4/10/2024 9:11:58,Day shift,6,13,No
4/10/2024 11:39:48,Day shift,7,12,No
4/10/2024 15:10:04,Day shift,7,12,Yes
4/11/2024 6:13:34,Night shift,4,12,No
4/11/2024 8:07:58,Day shift,6,8,No
4/11/2024 13:00:06,Night shift,6,13,No
4/11/2024 13:00:22,Night shift,6,12,Yes
4/11/2024 13:00:39,Night shift,6,16,Yes
4/11/2024 13:00:59,Day shift,5,12,No
4/11/2024 13:01:13,Day shift,6,13,Yes
4/11/2024 13:01:32,Night shift,8,12,Yes
4/11/2024 13:01:51,Day shift,10,13,Yes
4/11/2024 13:02:02,Night shift,7,14,No
4/11/2024 13:02:22,Day shift,8,13,Yes
4/11/2024 13:02:39,Night shift,4,12,No
4/11/2024 13:03:05,Day shift,7,13,Yes
4/11/2024 14:58:12,Night shift,4,10,No
4/11/2024 14:58:59,Day shift,6,8,Yes
4/11/2024 15:05:06,Day shift,10,7,Yes
4/11/2024 15:05:36,Night shift,7,4,Yes
4/11/2024 15:07:02,Night shift,4,8,Yes
4/11/2024 15:07:33,Night shift,2,12,No
4/11/2024 15:08:02,Day shift,8,12,Yes
4/11/2024 15:08:25,Night shift,4,8,Yes
4/11/2024 15:09:05,Night shift,10,12,Yes
4/11/2024 15:09:42,Night shift,0,12,Yes
4/11/2024 15:10:05,Night shift,2,12,No
4/11/2024 15:10:29,Night shift,4,8,No
4/11/2024 15:10:48,Night shift,4,12,Yes
4/11/2024 15:11:08,Night shift,4,12,Yes
4/11/2024 15:11:35,Night shift,7,12,Yes
4/11/2024 15:12:05,Night shift,4,12,Yes
4/11/2024 15:17:20,Night shift,8,8,Yes
4/11/2024 15:25:18,Day shift,6,7,No
4/11/2024 17:21:19,Day shift,7.5,9,Yes
4/11/2024 17:23:55,Day shift,8,6,Yes
4/11/2024 18:00:21,Day shift,6,10,No
4/11/2024 18:26:55,Day shift,7,12,Yes
4/11/2024 18:27:11,Day shift,7,12,Yes
4/11/2024 18:27:40,Day shift,5,13,No
4/11/2024 18:27:53,Day shift,8,12,Yes
4/11/2024 18:28:09,Day shift,5,16,No
4/11/2024 18:28:39,Day shift,5,14,No
4/11/2024 18:28:59,Day shift,6,15,No
4/11/2024 18:29:14,Night shift,4,12,No
4/11/2024 18:29:26,Night shift,5,16,No
4/11/2024 18:29:42,Day shift,7,13,Yes
4/11/2024 18:30:02,Day shift,6,12,No
4/11/2024 18:30:12,Day shift,8,13,Yes
4/11/2024 18:30:23,Night shift,6,12,Yes
